QUERY                    |SUCCESSFUL               |DURATION                 |RESULTS_SIZE             |SYSTEM                   |STARTDATE_EPOCH          |STOPDATE_EPOCH           |DURATION_MS              |STARTDATE                |STOPDATE                 
0                        |true                     |25.325                   |0                        |presto                   |1554045709574            |1554045734899            |25325                    |2019-03-31 15:21:49.574  |2019-03-31 15:22:14.899  
1                        |true                     |16.422                   |0                        |presto                   |1554045734906            |1554045751328            |16422                    |2019-03-31 15:22:14.906  |2019-03-31 15:22:31.328  
2                        |true                     |129.185                  |0                        |presto                   |1554045751332            |1554045880517            |129185                   |2019-03-31 15:22:31.332  |2019-03-31 15:24:40.517  
3                        |true                     |54.114                   |0                        |presto                   |1554045880522            |1554045934636            |54114                    |2019-03-31 15:24:40.522  |2019-03-31 15:25:34.636  
4                        |true                     |30.012                   |0                        |presto                   |1554045934642            |1554045964654            |30012                    |2019-03-31 15:25:34.642  |2019-03-31 15:26:04.654  
5                        |true                     |19.709                   |0                        |presto                   |1554045964660            |1554045984369            |19709                    |2019-03-31 15:26:04.660  |2019-03-31 15:26:24.369  
6                        |true                     |24.905                   |0                        |presto                   |1554045984377            |1554046009282            |24905                    |2019-03-31 15:26:24.377  |2019-03-31 15:26:49.282  
7                        |true                     |16.550                   |0                        |presto                   |1554046009288            |1554046025838            |16550                    |2019-03-31 15:26:49.288  |2019-03-31 15:27:05.838  
9                        |true                     |15.408                   |0                        |presto                   |1554046025845            |1554046041253            |15408                    |2019-03-31 15:27:05.845  |2019-03-31 15:27:21.253  
10                       |true                     |14.377                   |0                        |presto                   |1554046041258            |1554046055635            |14377                    |2019-03-31 15:27:21.258  |2019-03-31 15:27:35.635  
11                       |true                     |34.173                   |0                        |presto                   |1554046055639            |1554046089812            |34173                    |2019-03-31 15:27:35.639  |2019-03-31 15:28:09.812  
12                       |true                     |22.001                   |0                        |presto                   |1554046089816            |1554046111817            |22001                    |2019-03-31 15:28:09.816  |2019-03-31 15:28:31.817  
13                       |true                     |15.410                   |0                        |presto                   |1554046111821            |1554046127231            |15410                    |2019-03-31 15:28:31.821  |2019-03-31 15:28:47.231  
14                       |true                     |14.345                   |0                        |presto                   |1554046127235            |1554046141580            |14345                    |2019-03-31 15:28:47.235  |2019-03-31 15:29:01.580  
15                       |true                     |15.426                   |0                        |presto                   |1554046141584            |1554046157010            |15426                    |2019-03-31 15:29:01.584  |2019-03-31 15:29:17.010  
16                       |true                     |16.159                   |0                        |presto                   |1554046157015            |1554046173174            |16159                    |2019-03-31 15:29:17.015  |2019-03-31 15:29:33.174  
17                       |true                     |45.680                   |0                        |presto                   |1554046173180            |1554046218860            |45680                    |2019-03-31 15:29:33.180  |2019-03-31 15:30:18.860  
18                       |true                     |47.830                   |0                        |presto                   |1554046218865            |1554046266695            |47830                    |2019-03-31 15:30:18.865  |2019-03-31 15:31:06.695  
19                       |true                     |37.308                   |0                        |presto                   |1554046266699            |1554046304007            |37308                    |2019-03-31 15:31:06.699  |2019-03-31 15:31:44.007  
20                       |true                     |15.325                   |0                        |presto                   |1554046304012            |1554046319337            |15325                    |2019-03-31 15:31:44.012  |2019-03-31 15:31:59.337  
21                       |true                     |14.278                   |0                        |presto                   |1554046319340            |1554046333618            |14278                    |2019-03-31 15:31:59.340  |2019-03-31 15:32:13.618  
22                       |true                     |25.916                   |0                        |presto                   |1554046333623            |1554046359539            |25916                    |2019-03-31 15:32:13.623  |2019-03-31 15:32:39.539  
23                       |true                     |38.691                   |0                        |presto                   |1554046359543            |1554046398234            |38691                    |2019-03-31 15:32:39.543  |2019-03-31 15:33:18.234  
24                       |true                     |22.406                   |0                        |presto                   |1554046398242            |1554046420648            |22406                    |2019-03-31 15:33:18.242  |2019-03-31 15:33:40.648  
