QUERY                    |SUCCESSFUL               |DURATION                 |RESULTS_SIZE             |SYSTEM                   |STARTDATE_EPOCH          |STOPDATE_EPOCH           |DURATION_MS              |STARTDATE                |STOPDATE                 
0                        |true                     |43.129                   |0                        |spark                    |1554048434628            |1554048477757            |43129                    |2019-03-31 16:07:14.628  |2019-03-31 16:07:57.757  
1                        |true                     |16.922                   |0                        |spark                    |1554048477761            |1554048494683            |16922                    |2019-03-31 16:07:57.761  |2019-03-31 16:08:14.683  
2                        |true                     |24.462                   |0                        |spark                    |1554048494686            |1554048519148            |24462                    |2019-03-31 16:08:14.686  |2019-03-31 16:08:39.148  
3                        |true                     |25.608                   |0                        |spark                    |1554048519150            |1554048544758            |25608                    |2019-03-31 16:08:39.150  |2019-03-31 16:09:04.758  
4                        |true                     |5.622                    |0                        |spark                    |1554048544760            |1554048550382            |5622                     |2019-03-31 16:09:04.760  |2019-03-31 16:09:10.382  
5                        |true                     |4.390                    |0                        |spark                    |1554048550385            |1554048554775            |4390                     |2019-03-31 16:09:10.385  |2019-03-31 16:09:14.775  
6                        |true                     |7.070                    |0                        |spark                    |1554048554778            |1554048561848            |7070                     |2019-03-31 16:09:14.778  |2019-03-31 16:09:21.848  
7                        |true                     |2.594                    |0                        |spark                    |1554048561851            |1554048564445            |2594                     |2019-03-31 16:09:21.851  |2019-03-31 16:09:24.445  
9                        |true                     |1.066                    |0                        |spark                    |1554048564449            |1554048565515            |1066                     |2019-03-31 16:09:24.449  |2019-03-31 16:09:25.515  
10                       |true                     |1.635                    |0                        |spark                    |1554048565517            |1554048567152            |1635                     |2019-03-31 16:09:25.517  |2019-03-31 16:09:27.152  
11                       |true                     |24.977                   |0                        |spark                    |1554048567155            |1554048592132            |24977                    |2019-03-31 16:09:27.155  |2019-03-31 16:09:52.132  
12                       |true                     |3.189                    |0                        |spark                    |1554048592136            |1554048595325            |3189                     |2019-03-31 16:09:52.136  |2019-03-31 16:09:55.325  
13                       |true                     |1.059                    |0                        |spark                    |1554048595327            |1554048596386            |1059                     |2019-03-31 16:09:55.327  |2019-03-31 16:09:56.386  
14                       |true                     |1.384                    |0                        |spark                    |1554048596388            |1554048597772            |1384                     |2019-03-31 16:09:56.388  |2019-03-31 16:09:57.772  
15                       |true                     |0.905                    |0                        |spark                    |1554048597774            |1554048598679            |905                      |2019-03-31 16:09:57.774  |2019-03-31 16:09:58.679  
16                       |true                     |1.719                    |0                        |spark                    |1554048598682            |1554048600401            |1719                     |2019-03-31 16:09:58.682  |2019-03-31 16:10:00.401  
17                       |true                     |15.231                   |0                        |spark                    |1554048600404            |1554048615635            |15231                    |2019-03-31 16:10:00.404  |2019-03-31 16:10:15.635  
18                       |true                     |25.953                   |0                        |spark                    |1554048615638            |1554048641591            |25953                    |2019-03-31 16:10:15.638  |2019-03-31 16:10:41.591  
19                       |true                     |1.731                    |0                        |spark                    |1554048641593            |1554048643324            |1731                     |2019-03-31 16:10:41.593  |2019-03-31 16:10:43.324  
20                       |true                     |1.433                    |0                        |spark                    |1554048643326            |1554048644759            |1433                     |2019-03-31 16:10:43.326  |2019-03-31 16:10:44.759  
21                       |true                     |1.638                    |0                        |spark                    |1554048644762            |1554048646400            |1638                     |2019-03-31 16:10:44.762  |2019-03-31 16:10:46.400  
22                       |true                     |7.383                    |0                        |spark                    |1554048646402            |1554048653785            |7383                     |2019-03-31 16:10:46.402  |2019-03-31 16:10:53.785  
23                       |true                     |34.054                   |0                        |spark                    |1554048653787            |1554048687841            |34054                    |2019-03-31 16:10:53.787  |2019-03-31 16:11:27.841  
24                       |true                     |1.410                    |0                        |spark                    |1554048687844            |1554048689254            |1410                     |2019-03-31 16:11:27.844  |2019-03-31 16:11:29.254  
